Expired Flow,duration,tl_pkts, tl_bytes, pkts/s, bytes/s,avg , min, max, stddev,tot_fw_pk,tot_bw_pk,fw_pkt_l_avg, fw_pkt_l_min, fw_pkt_l_max, fw_pkt_l_std, bw_pkt_l_avg, bw_pkt_l_min, bw_pkt_l_max, bw_pkt_l_stddev, fw_pkt_s, bw_pkt_s, fl_iat_avg, fl_iat_std, fl_iat_min,fl_iat_max,fw_iat_tot, fw_iat_avg, fw_iat_std, fw_iat_min, fw_iat_max,bw_iat_tot, bw_iat_avg, bw_iat_std, bw_iat_min, bw_iat_max
192.168.1.2:58118→111.206.229.51:2002,121.165829,41,4762,0.34,39.30,2278.59,54,4762,1661.47,21,20,2232.67, 54, 4730,  1646.75, 2091.40, 54, 4698, 1647.24,386.96, 0.00 ,  3029145.73,5510065.45, 0.00, 15119604.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:52042→114.67.252.107:50602,120.378330,11,989,0.09,8.22,913.27,544,989,120.63,7,4,887.86, 544, 983,  143.23, 846.50, 544, 977, 176.59,51.63, 0.00 ,  12037833.00,23460082.86, 0.00, 59972925.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57422→116.196.106.191:50602,120.461331,11,1444,0.09,11.99,1006.73,549,1444,215.00,7,4,934.57, 549, 1213,  182.72, 909.25, 549, 1201, 233.80,54.31, 0.00 ,  12046133.10,23441866.89, 36.00, 59956038.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:55674→116.198.4.66:10602,120.193300,27,1609,0.22,13.39,1278.96,578,1609,247.68,15,12,1249.13, 578, 1603,  271.09, 1230.33, 578, 1597, 273.06,155.89, 0.00 ,  4622819.23,8119389.00, 0.00, 19978093.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:58118→111.206.229.51:2002,121.014436,19,2320,0.16,19.17,1923.79,32,2320,490.58,10,9,1797.60, 32, 2288,  631.73, 1809.78, 32, 2256, 643.57,148.54, 0.00 ,  6723024.22,7464144.98, 0.00, 15120861.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:52042→114.67.252.107:50602,120.000639,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30000159.75,29982251.88, 17895.00, 59986338.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57422→116.196.106.191:50602,120.007685,9,504,0.07,4.20,230.00,6,504,180.39,4,5,136.50, 6, 267,  124.64, 205.20, 6, 498, 183.18,4.55, 0.00 ,  15000960.62,25957431.13, 538.00, 59961680.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:55674→116.198.4.66:10602,120.007422,19,462,0.16,3.85,270.63,6,462,151.41,10,9,244.80, 6, 450,  149.92, 248.67, 6, 456, 160.97,20.40, 0.00 ,  6667079.00,9278454.73, 0.00, 19988656.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:58118→111.206.229.51:2002,121.088346,18,704,0.15,5.81,353.78,32,704,221.31,9,9,330.67, 32, 672,  217.56, 302.22, 32, 640, 212.86,24.58, 0.00 ,  7122843.88,7252683.43, 18175.00, 15121057.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57422→116.196.106.191:50602,120.016547,9,504,0.07,4.20,280.00,6,504,180.39,5,4,205.20, 6, 498,  183.18, 249.00, 6, 492, 171.88,8.55, 0.00 ,  15002068.38,25946091.17, 17991.00, 59949834.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:55674→116.198.4.66:10602,120.018227,20,468,0.17,3.90,297.90,6,468,145.56,11,9,259.09, 6, 456,  155.09, 294.00, 6, 462, 148.59,23.75, 0.00 ,  6316748.79,9161075.57, 324.00, 19980235.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:52042→114.67.252.107:50602,120.000820,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30000205.00,29981677.50, 18338.00, 59982175.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:58118→111.206.229.51:2002,121.090750,16,512,0.13,4.23,272.00,32,512,147.51,8,8,256.00, 32, 480,  146.64, 228.00, 32, 448, 140.80,16.91, 0.00 ,  8072716.67,7533271.16, 18904.00, 15121349.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:57422→116.196.106.191:50602,120.000419,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17142917.00,27058864.53, 18282.00, 59931102.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:55674→116.198.4.66:10602,120.059661,19,636,0.16,5.30,334.74,180,636,132.60,11,8,305.45, 180, 456,  116.83, 318.00, 186, 450, 114.79,27.99, 0.00 ,  6669981.17,9300499.28, 0.00, 19980123.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:52042→114.67.252.107:50602,120.002405,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30000601.25,29982019.75, 18356.00, 59982857.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:34460→116.198.46.34:50327,540.368958,2,597,0.00,1.10,583.00,569,597,14.00,1,1,569.00, 569, 569,  0.00, 569.00, 569, 569, 0.00,1.05, 0.00 ,  540368958.00,nan, 540368958.00, 540368958.00,  0.00,0.00, 0.00, 0.00,  0.00, 0.00,0.00, 0.00, 0.00,  0.00
192.168.1.2:57422→116.196.106.191:50602,176.099285,6,954,0.03,5.42,324.00,6,954,295.11,3,3,168.00, 6, 255,  114.66, 164.00, 6, 249, 111.83,2.86, 0.00 ,  35219857.00,46616164.73, 18460.00, 116090025.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:55674→116.198.4.66:10602,146.036837,7,1436,0.05,9.83,223.14,6,1436,495.24,4,3,19.50, 6, 36,  11.52, 18.00, 6, 30, 9.80,0.53, 0.00 ,  24339472.83,45852572.61, 19162.00, 125577970.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.040590,16,1255,0.13,10.45,1013.00,549,1255,171.87,9,7,951.33, 549, 1249,  172.14, 991.43, 549, 1243, 215.53,71.33, 0.00 ,  8002706.00,19947545.14, 0.00, 59990253.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.087872,14,1025,0.12,8.54,936.50,544,1025,117.19,9,5,910.56, 544, 1019,  136.03, 887.00, 544, 1013, 175.30,68.24, 0.00 ,  9237528.62,21195771.30, 292.00, 59981228.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,120.936295,26,1626,0.21,13.45,961.85,54,1626,535.93,13,13,900.77, 54, 1594,  566.26, 902.00, 54, 1562, 525.30,96.83, 0.00 ,  4837451.80,6716742.99, 283.00, 15116323.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.019641,8,729,0.07,6.07,482.25,231,729,172.99,5,3,432.60, 231, 723,  182.30, 399.00, 231, 486, 118.82,18.02, 0.00 ,  17145663.00,27086207.59, 482.00, 59973114.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.001578,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30000394.50,29981147.00, 19213.00, 59981581.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,120.875450,18,704,0.15,5.82,325.33,32,704,200.20,9,9,302.22, 32, 672,  190.28, 273.78, 32, 640, 185.44,22.50, 0.00 ,  7110320.59,7313076.61, 23318.00, 15116487.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.083514,27,2185,0.22,18.20,1763.19,578,2185,381.43,15,12,1723.13, 578, 2179,  422.76, 1679.33, 578, 2173, 443.99,215.24, 0.00 ,  4618596.69,7536309.45, 0.00, 19979390.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.013964,9,504,0.07,4.20,280.00,6,504,180.39,4,5,255.00, 12, 498,  171.88, 200.40, 6, 492, 181.88,8.50, 0.00 ,  15001745.50,25949996.03, 18376.00, 59951298.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.095731,16,512,0.13,4.23,272.00,32,512,147.51,8,8,256.00, 32, 480,  146.64, 228.00, 32, 448, 140.80,16.91, 0.00 ,  8073048.73,7529232.15, 23384.00, 15116492.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,139.978666,20,468,0.14,3.34,245.70,6,468,161.47,11,9,234.00, 6, 462,  160.10, 208.67, 6, 456, 161.14,18.39, 0.00 ,  7367298.21,8814831.40, 0.00, 19979420.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.001477,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30000369.25,29981683.27, 18483.00, 59983503.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.001039,11,1097,0.09,9.14,748.45,6,1097,320.08,5,6,752.40, 370, 1091,  245.34, 563.33, 6, 1085, 418.34,31.35, 0.00 ,  12000103.90,22631200.42, 17965.00, 59931688.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.034505,16,512,0.13,4.23,272.00,32,512,147.51,8,8,256.00, 32, 480,  146.64, 228.00, 32, 448, 140.80,16.92, 0.00 ,  8068967.00,7506360.21, 23100.00, 15116814.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.008987,23,3143,0.19,26.19,1492.09,6,3143,1412.79,13,10,1383.00, 6, 3131,  1368.38, 1320.20, 6, 3137, 1435.21,149.81, 0.00 ,  5454953.95,7917719.33, 0.00, 19989162.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.000417,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30000104.25,29980690.25, 18990.00, 59980898.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.000158,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17142879.71,27052457.34, 18110.00, 59921550.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.195221,21,2512,0.17,20.73,2020.95,32,2512,520.19,11,10,1894.55, 32, 2480,  655.72, 1912.00, 32, 2448, 661.30,171.95, 0.00 ,  6059761.05,7087750.77, 0.00, 15117045.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.019702,20,468,0.17,3.90,297.90,6,468,145.56,11,9,259.09, 6, 456,  155.09, 294.00, 6, 462, 148.59,23.75, 0.00 ,  6316826.42,8434407.62, 516.00, 19979629.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.000487,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17142926.71,27033458.00, 18017.00, 59891271.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.000451,5,30,0.04,0.25,18.00,6,30,8.49,3,2,14.00, 6, 24,  7.48, 12.00, 6, 18, 6.00,0.35, 0.00 ,  30000112.75,29981060.75, 18691.00, 59981441.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.044820,18,1136,0.15,9.38,708.44,32,1136,393.94,9,9,661.33, 32, 1104,  410.70, 632.89, 32, 1072, 405.34,49.17, 0.00 ,  7120283.53,7505729.90, 23466.00, 15116054.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.059170,19,636,0.16,5.30,334.74,180,636,132.60,11,8,305.45, 180, 456,  116.83, 318.00, 186, 450, 114.79,27.99, 0.00 ,  6669953.89,8553564.02, 0.00, 19980925.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.000482,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17142926.00,27023890.92, 18452.00, 59871547.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:50546→114.67.251.143:50602,120.001920,5,30,0.04,0.25,18.00,6,30,8.49,2,3,12.00, 6, 18,  6.00, 14.00, 6, 24, 7.48,0.20, 0.00 ,  30000480.00,29980824.50, 19516.00, 59981919.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.094694,16,512,0.13,4.23,272.00,32,512,147.51,8,8,256.00, 32, 480,  146.64, 228.00, 32, 448, 140.80,16.91, 0.00 ,  8072979.60,7528628.60, 23295.00, 15116044.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,120.057565,18,456,0.15,3.80,163.33,6,456,130.97,10,8,138.60, 6, 276,  114.55, 138.00, 6, 270, 114.79,11.54, 0.00 ,  7062209.71,8650048.96, 40.00, 19979607.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,120.001147,8,498,0.07,4.15,308.25,6,498,161.40,4,4,249.00, 6, 492,  171.88, 244.50, 6, 486, 169.77,8.30, 0.00 ,  17143021.00,27011014.58, 17989.00, 59852266.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,121.011682,18,704,0.15,5.82,410.67,32,704,200.20,9,9,387.56, 32, 672,  207.08, 359.11, 32, 640, 201.13,28.82, 0.00 ,  7118334.24,7411916.99, 23376.00, 15116765.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:35196→36.110.181.118:2002,242.164580,6,192,0.02,0.79,112.00,32,192,54.65,3,3,96.00, 32, 160,  52.26, 74.67, 32, 128, 39.91,1.19, 0.00 ,  48432916.00,82004123.56, 23677.00, 211884674.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:56036→116.198.4.66:10602,300.148034,16,444,0.05,1.48,148.88,6,444,130.98,9,7,123.33, 6, 264,  110.67, 119.14, 6, 258, 110.51,3.70, 0.00 ,  20009868.93,52919705.92, 0.00, 215717957.00,  0.00,0.00, -0.00, 0.00,  0.00, 0.00,0.00, -0.00, 0.00,  0.00
192.168.1.2:54482→116.196.101.170:50602,299.839269,2,237,0.01,0.79,121.50,6,237,115.50,1,1,6.00, 6, 6,  0.00, 6.00, 6, 6, 0.00,0.02, 0.00 ,  299839269.00,2.65, 299839269.00, 299839269.00,  0.00,0.00, 0.00, 0.00,  0.00, 0.00,0.00, 0.00, 0.00,  0.00
